PRNG,000,0,00071.071,00000.000,00000.000,0x0007,1,01002.332,01000.000,00000.000,0x0007,2,01358.914,01000.000,01000.000,0x0007,3,02275.175,02000.000,-1000.000,0x0007
WLS,000,4,-0009.837,00079.212
FFIX,000,4,-0009.837,00079.212
PRNG,001,0,00061.757,00000.000,00000.000,0x0007,1,00974.625,01000.000,00000.000,0x0007,2,01370.351,01000.000,01000.000,0x0007,3,02264.932,02000.000,-1000.000,0x0007
WLS,001,4,00015.886,00058.036
FFIX,001,4,-0008.229,00077.889
PRNG,002,0,00030.279,00000.000,00000.000,0x0007,1,00998.908,01000.000,00000.000,0x0007,2,01356.560,01000.000,01000.000,0x0007,3,02246.644,02000.000,-1000.000,0x0007
WLS,002,4,-0029.652,00058.887
FFIX,002,4,-0010.907,00075.513
PRNG,003,0,00049.765,00000.000,00000.000,0x0007,1,00949.442,01000.000,00000.000,0x0007,2,01353.862,01000.000,01000.000,0x0007,3,02211.269,02000.000,-1000.000,0x0007
WLS,003,4,00042.546,00036.145
FFIX,003,4,00002.455,00065.671
PRNG,004,0,00055.761,00000.000,00000.000,0x0007,1,00941.947,01000.000,00000.000,0x0007,2,01384.741,01000.000,01000.000,0x0007,3,02217.864,02000.000,-1000.000,0x0007
WLS,004,4,00048.529,00013.094
FFIX,004,4,00005.335,00062.385
PRNG,005,0,00044.968,00000.000,00000.000,0x0007,1,00963.832,01000.000,00000.000,0x0007,2,01361.957,01000.000,01000.000,0x0007,3,02177.992,02000.000,-1000.000,0x0007
WLS,005,4,00048.378,00007.355
FFIX,005,4,00008.025,00058.946
PRNG,006,0,00049.765,00000.000,00000.000,0x0007,1,00920.662,01000.000,00000.000,0x0007,2,01391.037,01000.000,01000.000,0x0007,3,02173.495,02000.000,-1000.000,0x0007
WLS,006,4,00055.727,-0025.776
FFIX,006,4,00011.007,00053.651
PRNG,007,0,00074.948,00000.000,00000.000,0x0007,1,00924.559,01000.000,00000.000,0x0007,2,01391.636,01000.000,01000.000,0x0007,3,02151.010,02000.000,-1000.000,0x0007
WLS,007,4,00069.381,-0041.108
FFIX,007,4,00040.194,00006.271
PRNG,008,0,00069.851,00000.000,00000.000,0x0007,1,00915.566,01000.000,00000.000,0x0007,2,01392.236,01000.000,01000.000,0x0007,3,02157.606,02000.000,-1000.000,0x0007
WLS,008,4,00068.462,-0037.086
FFIX,008,4,00041.960,00003.561
PRNG,009,0,00099.531,00000.000,00000.000,0x0007,1,00899.976,01000.000,00000.000,0x0007,2,01359.558,01000.000,01000.000,0x0007,3,02144.115,02000.000,-1000.000,0x0007
WLS,009,4,00098.113,-0015.007
FFIX,009,4,00055.998,-0001.080
PRNG,010,0,00122.914,00000.000,00000.000,0x0007,1,00908.371,01000.000,00000.000,0x0007,2,01382.043,01000.000,01000.000,0x0007,3,02122.530,02000.000,-1000.000,0x0007
WLS,010,4,00105.102,-0049.116
FFIX,010,4,00062.136,-0007.085
PRNG,011,0,00107.925,00000.000,00000.000,0x0007,1,00872.396,01000.000,00000.000,0x0007,2,01382.043,01000.000,01000.000,0x0007,3,02095.549,02000.000,-1000.000,0x0007
WLS,011,4,00104.957,-0072.290
FFIX,011,4,00067.489,-0015.235
PRNG,012,0,00146.898,00000.000,00000.000,0x0007,1,00881.389,01000.000,00000.000,0x0007,2,01379.045,01000.000,01000.000,0x0007,3,02104.543,02000.000,-1000.000,0x0007
